,pct_max_score,learner_model,interactive,psiturk_log_uuid,level_number
246,100.0,neural,True,56ba8b5730d6b3000cf85665:5f494a03452857481495f764,8
1349,100.0,neural,True,5f2bb05bfa2da363c64551a7:5f4978e36618633c8799d39d,10
1404,-66.66666666666666,neural,True,5e1510a1c76aa6b119558fd6:5f497908da9c144e84a4b40d,6
358,74.07407407407408,neural,True,5f2c03d5960cb30338e3a019:5f494b7d4f80c211f4f8c4e9,9
362,26.666666666666668,neural,True,5ed4f1749cc65f01e7775c24:5f494a37e83b1e47d8fe57ac,6
363,100.0,neural,True,568aebfc39a70e000b57acf9:5f4949f8d919ec366b0439e2,8
1343,-75.0,neural,True,56fdff4ee0f9ff000f19c466:5f49790327b9643c5d488776,2
1342,12.5,neural,True,5df15288b1fb0506c5fc6afb:5f4978f41be8563cbd1cc22c,4
1350,-75.0,neural,True,5d6afd65f2d304001540edfa:5f4978ef2a3d074e2709b0ed,4
1340,74.07407407407408,neural,True,5ef51de92a8ed116654bc910:5f4978f9586c804defdf9006,9
368,-112.5,neural,True,5ec917d6e72f95414ef658ea:5f494b897709fc481b58ccfd,2
1407,-83.33333333333334,neural,True,5d6afd65f2d304001540edfa:5f4978ef2a3d074e2709b0ed,8
1471,100.0,neural,True,56fdff4ee0f9ff000f19c466:5f49790327b9643c5d488776,10
1469,100.0,neural,True,5d964976b8040b001761467c:5f4978eb05a42c18c3da730b,5
1467,74.07407407407408,neural,True,56fdff4ee0f9ff000f19c466:5f49790327b9643c5d488776,9
371,-62.5,neural,True,5ed68381c1fe3d0c38d561de:5f494c67c02a1747cf4f2e89,1
351,41.66666666666667,neural,True,5ea1a92e9a4975074e327627:5f494b8d419176477189909f,4
390,100.0,neural,True,5f2c03d5960cb30338e3a019:5f494b7d4f80c211f4f8c4e9,10
1463,-25.0,neural,True,5e1510a1c76aa6b119558fd6:5f497908da9c144e84a4b40d,10
1351,-25.0,neural,True,5dd43fb9572604418c5fb05c:5f497989564c063cfd65622a,2
1354,-48.0,neural,True,5f48329af7606d1b45b2e726:5f4978f67b89dc3b5462a5e0,5
381,50.0,neural,True,5f2af21b5a21314505c50c70:5f494bb974ace84a073bf913,4
1326,74.07407407407408,neural,True,5f2bb05bfa2da363c64551a7:5f4978e36618633c8799d39d,9
1325,-31.25,neural,True,5d964976b8040b001761467c:5f4978eb05a42c18c3da730b,1
745,100.0,neural,True,5c0ddc894bc2690001b67bd0:5f49621a6bf20b4b41accd45,5
325,74.07407407407408,neural,True,5c76e6f1d81ffd0017dffc4a:5f494971c541cc489012c107,9
1322,74.07407407407408,neural,True,5dbc435b78b8d81ec088fb40:5f4978deac8a904def637dec,9
188,26.666666666666668,neural,True,5ee597ee473a462dedf766e4:5f494ad77a43dc497c74a657,6
356,100.0,neural,True,5d9db80fad89d50017a880e6:5f494b21243bb3486e226d7d,7
1320,100.0,neural,True,5ef51de92a8ed116654bc910:5f4978f9586c804defdf9006,8
1317,-93.75,neural,True,5d6afd65f2d304001540edfa:5f4978ef2a3d074e2709b0ed,2
1334,-47.05882352941176,neural,True,5d6afd65f2d304001540edfa:5f4978ef2a3d074e2709b0ed,3
1335,100.0,neural,True,5d038adefda4bb00013f8afb:5f4978eaf998434d358796a9,10
354,100.0,neural,True,57b4a771cda70d0001534835:5f494b7f9f9d2348a2b74dfd,8
1337,100.0,neural,True,5dbc435b78b8d81ec088fb40:5f4978deac8a904def637dec,10
386,74.07407407407408,neural,True,568aebfc39a70e000b57acf9:5f4949f8d919ec366b0439e2,9
1356,100.0,neural,True,5ef51de92a8ed116654bc910:5f4978f9586c804defdf9006,10
385,-94.11764705882352,neural,True,5ec917d6e72f95414ef658ea:5f494b897709fc481b58ccfd,3
1330,-87.5,neural,True,5dd43fb9572604418c5fb05c:5f497989564c063cfd65622a,1
1461,58.333333333333336,neural,True,56fdff4ee0f9ff000f19c466:5f49790327b9643c5d488776,8
1458,100.0,neural,True,5dd43fb9572604418c5fb05c:5f497989564c063cfd65622a,10
730,100.0,neural,True,5c7853cecad0dc0001e56ec5:5f496216ba002f4b59a1de3b,2
281,42.857142857142854,neural,True,5c76e6f1d81ffd0017dffc4a:5f494971c541cc489012c107,7
1420,-100.0,neural,True,5d6afd65f2d304001540edfa:5f4978ef2a3d074e2709b0ed,9
1419,100.0,neural,True,5df15288b1fb0506c5fc6afb:5f4978f41be8563cbd1cc22c,8
449,74.07407407407408,neural,True,5cbad3cbab6a2c00016137ac:5f494bd7633ed248837fc5a7,9
1417,-83.33333333333334,neural,True,5f48329af7606d1b45b2e726:5f4978f67b89dc3b5462a5e0,8
1415,26.666666666666668,neural,True,5dd43fb9572604418c5fb05c:5f497989564c063cfd65622a,6
